vedpos;name;place;kolvo;placepriority;
151;МФУ (принтер, копир, факс), KYOCERA Ecosys M2035DN, принтер+сканер+копир А4,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
152;МФУ (принтер, копир, факс), KYOCERA Ecosys M3040IDN, А4,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
153;МФУ (принтер, копир, факс), KYOCERA Ecosys M5526cdn,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
154;МФУ (принтер, копир, факс), KYOCERA TASKalfa 1800,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
155;МФУ (принтер, копир, факс), Xerox WC 7220, принтер+сканер+копир А3,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
156;МФУ (принтер, копир, факс), Xerox WC 7220, принтер+сканер+копир А3,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
157;Набор инструментальный, универсальный 39предм.,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
158;Обогреватель, анодированный ZPAS WN-0211-02-00-000,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
159;Оборудование для резки и уничтожения бумаги, уничтожитель бумаги(шредер) Gladwork Aquarium 25CD;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
160;Оборудование для резки и уничтожения бумаги, уничтожитель бумаги(шредер) HSM SECURIO C14-4х25;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
161;Оборудование для резки и уничтожения бумаги, уничтожитель бумаги(шредер) HSM ShredStar X5-4.5x30;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
162;Перфоратор, Makita HR160DWA 1,2Дж 12В SDS-plus;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
163;Перфоратор, Makita HR2450 950Вт, 15Дж SDS-Max;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
164;Прибор, тестер для проверки качества видеосигнала, Expert-4IP/CMOT;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
165;Принтер, Brother, QL-800;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
166;Принтер, Canon, PIXMA IX6840;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
167;Принтер, HP, LaserJet M601n А4,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
168;Принтер, HP, LaserJet P2055dn CE459A;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
169;Принтер, HP, LaserJet Pro 400 M401d;Управление Офис 1 (Земляной вал, 61 стр. 2);10;1;
170;Принтер, Ricoh, SP C250DN;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
171;Радиостанция, портативная FT-60R Yaesu;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
172;Сетевое оборудование, коммутатор, Dahua, DH-(PFS3110)-8P-96,;Управление Офис 1 (Земляной вал, 61 стр. 2);3;1;
173;Сетевое оборудование, коммутатор, HP, 1910-48G,;Управление Офис 1 (Земляной вал, 61 стр. 2);7;1;
174;Сетевое оборудование, коммутатор, HP, 1910-8G,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
