vedpos;name;place;kolvo;placepriority;
147;Њ”“ (принтер, копир, факс), HP LaserJet Pro M225 (CF485A), Ђ4,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
148;Њ”“ (принтер, копир, факс), HP LaserJet Pro M426fdn, Ђ4,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);5;1;
149;Њ”“ (принтер, копир, факс), HP LaserJet Pro M428dw,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
150;Њ”“ (принтер, копир, факс), KYOCERA Ecosys M2035DN, принтер+сканер+копир Ђ4,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
151;Њ”“ (принтер, копир, факс), KYOCERA Ecosys M3040IDN, Ђ4,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
152;Њ”“ (принтер, копир, факс), KYOCERA Ecosys M5526cdn,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
153;Њ”“ (принтер, копир, факс), KYOCERA TASKalfa 1800,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
154;Њ”“ (принтер, копир, факс), Xerox WC 7220, принтер+сканер+копир Ђ3,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
155;Њ”“ (принтер, копир, факс), Xerox WC 7220, принтер+сканер+копир Ђ3,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
156;Ќабор инструментальный, универсальный 39предм.,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
157;Ћбогреватель, анодированный ZPAS WN-0211-02-00-000,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
158;Ћборудование длЯ резки и уничтожениЯ бумаги, уничтожитель бумаги(шредер) Gladwork Aquarium 25CD;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
159;Ћборудование длЯ резки и уничтожениЯ бумаги, уничтожитель бумаги(шредер) HSM SECURIO C14-4х25;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
160;Ћборудование длЯ резки и уничтожениЯ бумаги, уничтожитель бумаги(шредер) HSM ShredStar X5-4.5x30;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
161;Џерфоратор, Makita HR160DWA 1,2„ж 12‚ SDS-plus;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
162;Џерфоратор, Makita HR2450 950‚т, 15„ж SDS-Max;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
163;Џрибор, накопитель фискальный ”Ќ-1.1;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
164;Џрибор, накопитель фискальный ”Ќ-1.1;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
165;Џрибор, тестер длЯ проверки качества видеосигнала, Expert-4IP/CMOT;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
166;Џринтер, Brother, QL-800;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
167;Џринтер, Canon, PIXMA IX6840;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
168;Џринтер, HP, LaserJet M601n Ђ4,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
169;Џринтер, HP, LaserJet P2055dn CE459A;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
170;Џринтер, HP, LaserJet Pro 400 M401d;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);10;1;
171;Џринтер, Ricoh, SP C250DN;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
172;ђадиостанциЯ, портативнаЯ FT-60R Yaesu;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
173;‘етевое оборудование, коммутатор, Dahua, DH-(PFS3110)-8P-96,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);3;1;
174;‘етевое оборудование, коммутатор, HP, 1910-48G,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);7;1;
175;‘етевое оборудование, коммутатор, HP, 1910-8G,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
176;‘етевое оборудование, коммутатор, HP, 1920-48G,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
177;‘етевое оборудование, коммутатор, HP, PS1810-8G,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
178;‘етевое оборудование, коммутатор, ZyXEL, GS-105B,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
